site;variable;value;Year;Month;Type;var
9150;precip.rrday_20160509;0;2016;5;prec;prec05
9646;precip.rrday_20160509;0;2016;5;prec;prec05
187;precip.rrday_20160510;0;2016;5;prec;prec05
617;precip.rrday_20160510;0;2016;5;prec;prec05
657;precip.rrday_20160510;0;2016;5;prec;prec05
853;precip.rrday_20160510;0;2016;5;prec;prec05
861;precip.rrday_20160510;0;2016;5;prec;prec05
946;precip.rrday_20160510;0;2016;5;prec;prec05
950;precip.rrday_20160510;0;2016;5;prec;prec05
1030;precip.rrday_20160510;0;2016;5;prec;prec05
1032;precip.rrday_20160510;0;2016;5;prec;prec05
1076;precip.rrday_20160510;0;2016;5;prec;prec05
1206;precip.rrday_20160510;0;2016;5;prec;prec05
1367;precip.rrday_20160510;0;2016;5;prec;prec05
2813;precip.rrday_20160510;0;2016;5;prec;prec05
3222;precip.rrday_20160510;0;2016;5;prec;prec05
3225;precip.rrday_20160510;0;2016;5;prec;prec05
3379;precip.rrday_20160510;0;2016;5;prec;prec05
4193;precip.rrday_20160510;0;2016;5;prec;prec05
8560;precip.rrday_20160510;0;2016;5;prec;prec05
9150;precip.rrday_20160510;0;2016;5;prec;prec05
9646;precip.rrday_20160510;0;2016;5;prec;prec05
187;precip.rrday_20160511;0;2016;5;prec;prec05
617;precip.rrday_20160511;0;2016;5;prec;prec05
657;precip.rrday_20160511;0;2016;5;prec;prec05
853;precip.rrday_20160511;0;2016;5;prec;prec05
861;precip.rrday_20160511;0;2016;5;prec;prec05
946;precip.rrday_20160511;0;2016;5;prec;prec05
950;precip.rrday_20160511;0;2016;5;prec;prec05
1030;precip.rrday_20160511;0;2016;5;prec;prec05
1032;precip.rrday_20160511;0;2016;5;prec;prec05
1076;precip.rrday_20160511;0;2016;5;prec;prec05
1206;precip.rrday_20160511;0;2016;5;prec;prec05
1367;precip.rrday_20160511;0;2016;5;prec;prec05
2813;precip.rrday_20160511;0;2016;5;prec;prec05
3222;precip.rrday_20160511;0;2016;5;prec;prec05
3225;precip.rrday_20160511;0;2016;5;prec;prec05
3379;precip.rrday_20160511;0;2016;5;prec;prec05
4193;precip.rrday_20160511;0;2016;5;prec;prec05
8560;precip.rrday_20160511;0;2016;5;prec;prec05
9150;precip.rrday_20160511;0;2016;5;prec;prec05
9646;precip.rrday_20160511;0;2016;5;prec;prec05
187;precip.rrday_20160512;0;2016;5;prec;prec05
617;precip.rrday_20160512;0.0370814666265298;2016;5;prec;prec05
657;precip.rrday_20160512;0;2016;5;prec;prec05
853;precip.rrday_20160512;0;2016;5;prec;prec05
861;precip.rrday_20160512;0;2016;5;prec;prec05
946;precip.rrday_20160512;0;2016;5;prec;prec05
950;precip.rrday_20160512;0;2016;5;prec;prec05
1030;precip.rrday_20160512;0;2016;5;prec;prec05
1032;precip.rrday_20160512;0;2016;5;prec;prec05
1076;precip.rrday_20160512;0;2016;5;prec;prec05
1206;precip.rrday_20160512;0;2016;5;prec;prec05
1367;precip.rrday_20160512;0;2016;5;prec;prec05
2813;precip.rrday_20160512;0;2016;5;prec;prec05
3222;precip.rrday_20160512;0;2016;5;prec;prec05
3225;precip.rrday_20160512;0;2016;5;prec;prec05
3379;precip.rrday_20160512;0.163293594656955;2016;5;prec;prec05
4193;precip.rrday_20160512;0.0370814666265298;2016;5;prec;prec05
8560;precip.rrday_20160512;0;2016;5;prec;prec05
9150;precip.rrday_20160512;0.213384540414406;2016;5;prec;prec05
9646;precip.rrday_20160512;0;2016;5;prec;prec05
187;precip.rrday_20160513;0.227294901267909;2016;5;prec;prec05
617;precip.rrday_20160513;0.10879498499938;2016;5;prec;prec05
657;precip.rrday_20160513;0.0913446545178325;2016;5;prec;prec05
853;precip.rrday_20160513;0.172229340519992;2016;5;prec;prec05
861;precip.rrday_20160513;0.446620329398641;2016;5;prec;prec05
946;precip.rrday_20160513;0.679095915777789;2016;5;prec;prec05
950;precip.rrday_20160513;0.227294901267909;2016;5;prec;prec05
1030;precip.rrday_20160513;0.179901589267892;2016;5;prec;prec05
1032;precip.rrday_20160513;0.179901589267892;2016;5;prec;prec05
1076;precip.rrday_20160513;0.0913446545178325;2016;5;prec;prec05
1206;precip.rrday_20160513;0.863776577901097;2016;5;prec;prec05
1367;precip.rrday_20160513;0.446620329398641;2016;5;prec;prec05
2813;precip.rrday_20160513;0.906265194977567;2016;5;prec;prec05
3222;precip.rrday_20160513;0.449357586569436;2016;5;prec;prec05
3225;precip.rrday_20160513;0.449357586569436;2016;5;prec;prec05
3379;precip.rrday_20160513;0.228565722749966;2016;5;prec;prec05
4193;precip.rrday_20160513;0.10879498499938;2016;5;prec;prec05
8560;precip.rrday_20160513;0.863776577901097;2016;5;prec;prec05
9150;precip.rrday_20160513;0.699086017529798;2016;5;prec;prec05
9646;precip.rrday_20160513;0.446620329398641;2016;5;prec;prec05
187;precip.rrday_20160514;0;2016;5;prec;prec05
617;precip.rrday_20160514;0;2016;5;prec;prec05
657;precip.rrday_20160514;0;2016;5;prec;prec05
853;precip.rrday_20160514;0;2016;5;prec;prec05
861;precip.rrday_20160514;0;2016;5;prec;prec05
946;precip.rrday_20160514;0;2016;5;prec;prec05
950;precip.rrday_20160514;0;2016;5;prec;prec05
1030;precip.rrday_20160514;0;2016;5;prec;prec05
1032;precip.rrday_20160514;0;2016;5;prec;prec05
1076;precip.rrday_20160514;0;2016;5;prec;prec05
1206;precip.rrday_20160514;0;2016;5;prec;prec05
1367;precip.rrday_20160514;0;2016;5;prec;prec05
2813;precip.rrday_20160514;0;2016;5;prec;prec05
3222;precip.rrday_20160514;0;2016;5;prec;prec05
3225;precip.rrday_20160514;0;2016;5;prec;prec05
3379;precip.rrday_20160514;0;2016;5;prec;prec05
4193;precip.rrday_20160514;0;2016;5;prec;prec05
8560;precip.rrday_20160514;0;2016;5;prec;prec05
9150;precip.rrday_20160514;0;2016;5;prec;prec05
9646;precip.rrday_20160514;0;2016;5;prec;prec05
187;precip.rrday_20160515;27.0744966821645;2016;5;prec;prec05
617;precip.rrday_20160515;24.7745519659003;2016;5;prec;prec05
657;precip.rrday_20160515;26.3157722733054;2016;5;prec;prec05
853;precip.rrday_20160515;27.110730648561;2016;5;prec;prec05
861;precip.rrday_20160515;25.3964249692159;2016;5;prec;prec05
946;precip.rrday_20160515;26.3634154867264;2016;5;prec;prec05
950;precip.rrday_20160515;27.0744966821645;2016;5;prec;prec05
1030;precip.rrday_20160515;24.7825649992202;2016;5;prec;prec05
1032;precip.rrday_20160515;24.7825649992202;2016;5;prec;prec05
1076;precip.rrday_20160515;26.3157722733054;2016;5;prec;prec05
1206;precip.rrday_20160515;24.0344448218338;2016;5;prec;prec05
1367;precip.rrday_20160515;25.3964249692159;2016;5;prec;prec05
2813;precip.rrday_20160515;26.7224747858065;2016;5;prec;prec05
3222;precip.rrday_20160515;25.2697685804866;2016;5;prec;prec05
3225;precip.rrday_20160515;25.2697685804866;2016;5;prec;prec05
3379;precip.rrday_20160515;23.1463550348471;2016;5;prec;prec05
4193;precip.rrday_20160515;24.7745519659003;2016;5;prec;prec05
8560;precip.rrday_20160515;24.0344448218338;2016;5;prec;prec05
9150;precip.rrday_20160515;23.0356756243791;2016;5;prec;prec05
9646;precip.rrday_20160515;25.3964249692159;2016;5;prec;prec05
187;precip.rrday_20160516;0;2016;5;prec;prec05
617;precip.rrday_20160516;0.414389747336459;2016;5;prec;prec05
657;precip.rrday_20160516;0;2016;5;prec;prec05
853;precip.rrday_20160516;0;2016;5;prec;prec05
861;precip.rrday_20160516;0;2016;5;prec;prec05
946;precip.rrday_20160516;0;2016;5;prec;prec05
950;precip.rrday_20160516;0;2016;5;prec;prec05
1030;precip.rrday_20160516;0;2016;5;prec;prec05
1032;precip.rrday_20160516;0;2016;5;prec;prec05
1076;precip.rrday_20160516;0;2016;5;prec;prec05
1206;precip.rrday_20160516;0;2016;5;prec;prec05
1367;precip.rrday_20160516;0;2016;5;prec;prec05
2813;precip.rrday_20160516;0;2016;5;prec;prec05
3222;precip.rrday_20160516;0;2016;5;prec;prec05
3225;precip.rrday_20160516;0;2016;5;prec;prec05
3379;precip.rrday_20160516;0;2016;5;prec;prec05
4193;precip.rrday_20160516;0.414389747336459;2016;5;prec;prec05
8560;precip.rrday_20160516;0;2016;5;prec;prec05
9150;precip.rrday_20160516;0;2016;5;prec;prec05
9646;precip.rrday_20160516;0;2016;5;prec;prec05
187;precip.rrday_20160517;0;2016;5;prec;prec05
617;precip.rrday_20160517;0;2016;5;prec;prec05
657;precip.rrday_20160517;0;2016;5;prec;prec05
853;precip.rrday_20160517;0;2016;5;prec;prec05
861;precip.rrday_20160517;0;2016;5;prec;prec05
946;precip.rrday_20160517;0;2016;5;prec;prec05
950;precip.rrday_20160517;0;2016;5;prec;prec05
1030;precip.rrday_20160517;0;2016;5;prec;prec05
1032;precip.rrday_20160517;0;2016;5;prec;prec05
1076;precip.rrday_20160517;0;2016;5;prec;prec05
1206;precip.rrday_20160517;0;2016;5;prec;prec05
1367;precip.rrday_20160517;0;2016;5;prec;prec05
2813;precip.rrday_20160517;0;2016;5;prec;prec05
3222;precip.rrday_20160517;0;2016;5;prec;prec05
3225;precip.rrday_20160517;0;2016;5;prec;prec05
3379;precip.rrday_20160517;0;2016;5;prec;prec05
4193;precip.rrday_20160517;0;2016;5;prec;prec05
8560;precip.rrday_20160517;0;2016;5;prec;prec05
9150;precip.rrday_20160517;0;2016;5;prec;prec05
9646;precip.rrday_20160517;0;2016;5;prec;prec05
187;precip.rrday_20160518;0;2016;5;prec;prec05
617;precip.rrday_20160518;0;2016;5;prec;prec05
657;precip.rrday_20160518;0;2016;5;prec;prec05
853;precip.rrday_20160518;0;2016;5;prec;prec05
861;precip.rrday_20160518;0;2016;5;prec;prec05
946;precip.rrday_20160518;0;2016;5;prec;prec05
950;precip.rrday_20160518;0;2016;5;prec;prec05
