Patch;Square;Plant;PlantFinnish;Monocot;Dicot;Coverage;Herbivory %;Virotic
1030;2;Hylotelephium telephium;isomaksaruoho;0;1;0,5;0;0
1030;2;Ranunculus bulbosus;mäkileinikki;0;1;0,5;0;0
1030;2;Saxifraga granulata;papelorikko;0;1;0,1;0;0
1030;2;Brixa media;niittyräpelö;1;0;0,1;0;0
1030;2;Festuca ovina;lampaannata;1;0;6;0;0
1030;2;bryophytes;sammalet;0;0;90;0;0
1030;2;lichens;jäkälät;0;0;0;0;0
1030;3;Alchemilla sp;poimulehti sp;0;1;20;10;10
1030;3;Prunella vulgaris;niittyhumala;0;1;0,1;100;0
1030;3;Fragaria vesca;ahomansikka;0;1;20;10;0
1030;3;Brixa media;niittyräpelö;1;0;1;0;0
1030;3;Dactylis glomerata;koiranheinä;1;0;2;0;0
1030;3;Ranunculus bulbosus;mäkileinikki;0;1;2;0;0
1030;3;Plantago lanceolata;heinäratamo;0;1;2;100;0
1030;3;Trifolium medium;metsäapila;0;1;5;100;0
1030;3;Trifolium pratense;puna-apila;0;1;1;100;0
1030;3;Anemone nemorosa;valkovuokko;0;1;0,5;100;0
1030;3;Achillea millefolium;siankärsämö;0;1;0,5;0;0
1030;3;Primula veris;kevätesikko;0;1;1;100;0
1030;3;Alnus glutinosa;tervaleppä;0;1;3;100;0
1030;3;Veronica chamaedrys;nurmitädyke;0;1;0,5;0;0
1030;3;Viola riviniana;metsäorovkki;0;1;1;0;0
1030;3;Hypericum perforatum;mäkikuisma;0;1;1;100;0
1030;3;Galium verum;keltamatara;0;1;0,5;0;0
1030;3;Ranunculus repens;rönsyleinikki;0;1;0,5;0;0
1030;3;Sorbus aucuparia;kotipihlaja;0;1;0,5;0;0
1030;3;Anthoxanthum odoratum;eteläntuoksusimake;1;0;0,5;50;0
1030;3;Plantago major;piharatamo;0;1;0,5;100;0
1030;3;Veronica officinalis;rohtotädyke;0;1;0,5;0;0
1030;3;Agrostis sp;rölli sp;1;0;5;0;0
1030;3;Taraxacum sp;voikukka sp;0;1;1;100;100
1030;3;Hieracium sp 1;ukonkeltano sp 1;0;1;0,5;0;0
1030;3;Hieracium sp 2;ukonkeltano sp 2;0;1;0,5;0;0
1030;3;Festuca rubra ;punanata;1;0;5;0;0
1030;3;Poa pratensis;niittynurmikka;1;0;5;0;0
1030;3;Elytrigia repens;juolavehnä;1;0;1;0;0
1030;3;Arenaria serpyllifolia;mäkiarho;0;1;0,1;0;0
1030;3;Betula pendula;rauduskoivu;0;1;1;100;0
1030;3;Carex nigra;jokapaikansara;1;0;1;0;0
1030;3;bryophytes;sammalet;0;0;2;0;0
1030;3;Hepatica nobilis;sinivuokko;0;1;0,1;0;0
1030;3;Luzula sp;piippo sp ;1;0;0,1;0;0
1030;3;Luzula multiflora;nurmipiippo;1;0;0,5;0;0
1030;3;Agrostis sp;rölli sp;1;0;0,5;0;0
1030;3;lichens;jäkälät;0;0;0;0;0
1030;4;Elytrigia repens;juolavehnä;1;0;2;0;0
1030;4;Potentilla argentea;hopeahanhikki;0;1;0,5;0;0
1030;4;Veronica arvensis;ketotädyke;0;1;0,1;0;0
1030;4;Trifolium repens;valkoapila;0;1;2,5;90;0
1030;4;Medicago lupulina;nurmimailanen;0;1;1;100;0
1030;4;Filipendula vulgaris;sikoangervo;0;1;1;0;0
1030;4;Agrostis sp;rölli sp;1;0;1;0;0
1030;4;Rosa dumalis;orjanruusu;0;1;0,1;0;0
1030;4;Plantago lanceolata;heinäratamo;0;1;3;90;30
1030;4;Cerastium fontanum;nurmihärkki;0;1;1;0;0
1030;4;Festuca ovina;lampaannata;1;0;50;0;0
1030;4;bryophytes;sammalet;0;0;1;0;0
1030;4;Rumex acetosa;niittysuolaheinä;0;1;0,1;100;0
1030;4;Poa annua;kylänurmikka;1;0;0,5;0;0
1030;4;Luzula sp;piippo sp;1;0;NA;NA;NA
1030;4;Plantago major;piharatamo;0;1;0,3;100;0
1030;4;Sagina procumbens;rentohaarikko;0;1;0,1;0;0
1030;4;lichens;jäkälät;0;0;0;0;0
1030;5;Malus sylvestris;metsäomenapuu;0;1;2;100;100
1030;5;Filipendula sylvestris;sikoangervo;0;1;20;1;0
1030;5;Plantago lanceolata;heinäratamo;0;1;3;60;30
1030;5;Pilosella sp;harakankeltano sp;0;1;1;0;0
1030;5;Galium boreale;ahomatara;0;1;2;0;0
1030;5;Fragaria vesca;ahomansikka;0;1;7;0;0
1030;5;Briza media;niittyräpelö;1;0;1;20;0
1030;5;Melampyrum nemorosum;lehtomaitikka;0;1;1;0;0
1030;5;Trifolium medium;metsäapila;0;1;1;30;0
1030;5;Helictotrichon pubescens;mäkikaura;1;0;0,5;0;0
1030;5;Carex nigra;jokapaikansara;1;0;1;0;0
1030;5;Fraxinus excelsior;saarni;0;1;1;0;0
1030;5;Rumex acetosa;niittysuolaheinä;0;1;0,5;0;0
1030;5;Galium verum;keltamatara;0;1;1;0;0
1030;5;Ranunculus sp;leinikki sp;0;1;0,1;0;0
1030;5;Acer platanoides;metsävaahtera;0;1;0,5;100;0
1030;5;Festuca rubra;punanata;1;0;2;0;0
1030;5;Poa pratensis;niittynurmikka;1;0;0,5;0;0
1030;5;Festuca ovina;lampaannata;1;0;1;0;0
1030;5;Agrostis vinealis;jäykkärölli;1;0;0,5;0;0
1030;5;bryophytes;sammalet;0;0;0;0;0
1030;5;lichens;jäkälät;0;0;0;0;0
1030;6;Veronica officinalis;rohtotädyke;0;1;20;0;0
1030;6;Veronica spicata;tähkätädyke;0;1;1;20;0
1030;6;Veronica chamaedrys;nurmitädyke;0;1;1;0;0
1030;6;Plantago lanceolata;heinäratamo;0;1;2;0;0
1030;6;Melampyrum nemorosum;lehtomaitikka;0;1;0,5;0;0
1030;6;Anthoxanthum odoratum;eteläntuoksusimake;1;0;0,5;0;0
1030;6;Geranium sylvaticum;metsäkurjenpolvi;0;1;0,5;0;0
1030;6;Viola riviniana;metsäorovokki;0;1;0,5;0;0
1030;6;Fragaria vesca;ahomansikka;0;1;1,5;0;0
1030;6;Hylotelephium telephium;isomaksaruoho;0;1;0,2;0;0
1030;6;Rumex acetosa;niittysuolaheinä;0;1;0,2;100;0
1030;6;Festuca ovina;lampaannata;1;0;3;0;0
1030;6;Poaceae sp;heinä sp;1;0;1;0;0
1030;6;bryophytes;sammalet;0;0;80;0;0
1030;6;lichens;jäkälät;0;0;0;0;0
1076;1;Prunella vulgaris;niittyhumala;0;1;2;100;0
1076;1;Veronica officinalis;rohtotädyke;0;1;2;0;0
1076;1;Plantago lanceolata;heinäratamo;0;1;3;100;10
1076;1;Taraxacum sp;voikukka sp;0;1;3;0;0
1076;1;Primula veris;kevätesikko;0;1;1;0;0
1076;1;Lotus corniculatus;keltamaite;0;1;2;50;0
1076;1;Plantago major;piharatamo;0;1;0,5;100;0
1076;1;Lathyrus pratensis;niittynätkelmä;0;1;1;0;0
1076;1;Achillea millefolium;siankärsämö;0;1;1,5;0;0
1076;1;Galium verum;keltamatara;0;1;1,5;0;0
1076;1;Rumex acetosella;niittysuolaheinä;0;1;1;100;0
1076;1;Veronica chamaedrys;nurmitädyke;0;1;1,5;50;0
1076;1;Hepatica nobilis;sinivuokko;0;1;0,1;0;0
1076;1;Alchemilla sp;poimulehti sp;0;1;1;100;0
1076;1;Anemone nemorosa;valkovuokko;0;1;0,5;100;0
1076;1;Viola riviniana;metsäorvokki;0;1;0,1;0;0
1076;1;Trifolium medium;metsäapila;0;1;4;100;0
1076;1;Rubus saxitilis;lillukka;0;1;0,3;0;0
1076;1;Ranunculus polyanthemos;aholeinikki;0;1;0,5;0;0
1076;1;Ranunculus acris;niittyleinikki;0;1;0,5;0;0
1076;1;Briza media;niittyräpelö;1;0;0,1;0;0
1076;1;Dactylis glomerata;koiranheinä;1;0;0,5;0;0
1076;1;Melampyrum sylvaticum;metsämaitikka;0;1;0,5;0;0
1076;1;Agrostis sp;rölli sp;1;0;3;0;0
1076;1;Festuca rubra;punanata;1;0;2;0;0
1076;1;Helictotrichon pubescens;mäkikaura;1;0;0,1;0;0
1076;1;Cerastium semidecandrum;mäkihärkki;0;1;0,5;0;0
1076;1;Poa pratensis;niittynurmikka;1;0;1;0;0
1076;1;Phleum pratense;timotei;1;0;0,1;0;0
1076;1;Carex ovalis;jänönsara;1;0;0,1;0;0
1076;1;Agrostis vinealis;jäykkärölli;1;0;0,1;0;0
1076;1;Pilosella sp;harakankeltano;0;1;0,5;0;100
1076;1;Hypericum maculatum;särmäkuisma;0;1;0,1;0;0
1076;1;bryophytes;sammalet;0;0;25;0;0
1076;1;lichens;jäkälät;0;0;0;0;0
1076;2;Listera ovata;soikkokaksikko;1;0;5;20;0
1076;2;Melampyrum sylvaticum;metsämaitikka;0;1;6;0;0
1076;2;Ranunculus acris;niittyleinikki;0;1;1;0;0
1076;2;Agrostis sp;rölli sp;1;0;4;0;0
1076;2;Melica nutans;nuokkuhelmikkä;1;0;0,1;0;0
1076;2;Veronica chamaedrys;nurmitädyke;0;1;1;0;0
1076;2;Anemone nemorosa;valkovuokko;0;1;4;100;0
1076;2;Galium boreale;ahomatara;0;1;1;0;0
1076;2;Hepatica nobilis;sinivuokko;0;1;1;100;0
1076;2;Pteridium aquilinium;sananjalka;0;0;30;0;100
1076;2;Angelica sylvestris;karhunputki;0;1;10;50;0
1076;2;Taraxacum sp;voikukka sp;0;1;0,5;0;0
1076;2;Rumex acetosa;niittysuolaheinä;0;1;0,1;0;0
1076;2;Luzula sp;piippo sp;1;0;1;0;0
1076;2;Vicia cracca;hiirenvirna;0;1;0,1;0;0
1076;2;Trifolium medium ;metsäapila;0;1;1;100;0
1076;2;Poa pratensis;niittynurmikka;1;0;0,1;0;0
1076;2;Lathyrus pratensis;niittynätkelmä;0;1;1;100;0
1076;2;Viola riviniana;metsäorvokki;0;1;0,5;50;0
1076;2;Dactylis glomerata;koiranheinä;1;0;5;0;0
1076;2;Phleum pratense;timotei;1;0;0,1;0;0
1076;2;bryophytes;sammalet;0;0;0;0;0
1076;2;lichens;jäkälät;0;0;0;0;0
1076;3;Trifolium repens;valkoapila;0;1;2;100;0
1076;3;Dactylis glomerata;koiranheinä;1;0;6;0;20
1076;3;Filipendula vulgaris;sikoangervo;0;1;1;0;0
1076;3;Agrostis sp;rölli sp;1;0;2;0;0
1076;3;Ranunculus repens;rönsyleinikki;0;1;0,1;0;0
1076;3;Plantago major;piharatamo;0;1;0,2;0;0
1076;3;Plantago lanceolata;heinäratamo;0;1;2;100;50
1076;3;Rumex acetosa;niittysuolaheinä;0;1;1;100;0
1076;3;Potentilla argentea;hopeahanhikki;0;1;0,5;0;0
1076;3;Achillea millefolium;siankärsämö;0;1;1;0;0
1076;3;Trifolium pratense;puna-apila;0;1;1;100;0
1076;3;Veronica chamaedrys;nurmitädyke;0;1;1;0;0
1076;3;Galium verum;keltamatara;0;1;0,1;0;0
1076;3;Geranium molle;pehmytkurjenpolvi;0;1;5;0;0
1076;3;Helictotrichon pubescens;mäkikaura;1;0;0,5;0;0
1076;3;Vicia tetrasperma;mäkivirvilä;0;1;1;0;0
1076;3;Myosotis arvensis;peltolemmikki;0;1;1;0;0
1076;3;Anthoxanthum odoratum;eteläntuoksusimake;1;0;0,1;0;0
1076;3;Viola arvensis;pelto-orvokki;0;1;1;0;0
1076;3;Veronica arvensis;ketotädyke;0;1;0,1;0;0
1076;3;Hylotelephium telephium;isomaksaruoho;0;1;0,5;0;0
1076;3;Elytrigia repens;juolavehnä;1;0;1,5;0;0
1076;3;Phleum pratense;timotei;1;0;0,5;0;0
1076;3;Festuca rubra;punanata;1;0;4;0;0
1076;3;Poa pratensis;niittynurmikka;1;0;0,5;0;0
1076;3;bryophytes;sammalet;0;0;0;0;0
1076;3;lichens;jäkälät;0;0;0;0;0
1076;4;Anthiriscus sylvestris;koiranputki;0;1;50;0;0
1076;4;Dactylis glomerata;koiranheinä;1;0;3;0;0
1076;4;Plantago lanceolata;heinäratamo;0;1;3;0;0
1076;4;Agrostis sp;rölli sp;1;0;2;0;0
1076;4;Galium verum;keltamatara;0;1;25;0;0
1076;4;Rumex acetosa;niittysuolaheinä;0;1;0,5;0;0
1076;4;Veronica chamaedrys;nurmitädyke;0;1;1;0;0
1076;4;Lathyrus pratensis;niittynätkelmä;0;1;5;100;0
1076;4;Vicia cracca;hiirenvirna;0;1;3;100;0
1076;4;Achillea millefolium;siankärsämö;0;1;3;0;0
1076;4;Carex ovalis;jänönsara;1;0;0,5;0;0
1076;4;Poa pratensis;niittynurmikka;1;0;0,1;0;0
1076;4;Ranunculus polyanthemos;aholeinikki;0;1;0,5;0;0
1076;4;Ranunculus repens;rönsyleinikki;0;1;0,5;0;0
1076;4;Hypericum maculatum;särmäkuisma;0;1;1;0;0
1076;4;Primula veris;kevätesikko;0;1;1;0;0
1076;4;Rosa dumalis;orjanruusu;0;1;1;0;0
1076;4;Phleum pratense;timotei;1;0;1;0;0
1076;4;bryophytes;sammalet;0;0;0;0;0
1076;4;lichens;jäkälät;0;0;0;0;0
1076;5;Phleum pratense;timotei;1;0;10;0;0
1076;5;Achillea millefolium;siankärsämö;0;1;7;0;0
1076;5;Galium verum;keltamatara;0;1;15;0;0
1076;5;Poa pratensis;niittynurmikka;1;0;2;0;0
1076;5;Plantago lanceolata;heinäratamo;0;1;1,5;0;0
1076;5;Festuca rubra;punanata;1;0;0,5;0;0
1076;5;Agrostis sp;rölli sp;1;0;0,5;0;0
1076;5;bryophytes;sammalet;0;0;0;0;0
1076;5;lichens;jäkälät;0;0;0;0;0
2813;1;Galium album;paimenmatara;0;1;2;10;20
2813;1;Plantago lanceolata;heinäratamo;0;1;1;90;80
2813;1;Alnus glutinosa;tervaleppä;0;1;10;5;5
2813;1;Equisetum arvense;peltokorte;0;0;3;0;0
2813;1;Leucanthemum vulgare;päivänkakkara;0;1;0,1;0;0
2813;1;Betula pubescens;hieskoivu;0;1;3;30;30
2813;1;Achillea millefolium;siankärsämö;0;1;1;0;0
2813;1;Tussilago farfara;leskenlehti;0;1;1;0;0
2813;1;Phragmites australis;järviruoko;1;0;1;30;0
2813;1;Trifolium repens;valkoapila;0;1;0,1;0;0
2813;1;Salix sp;paju sp;0;1;2;0;0
2813;1;Taraxacum sp;voikukka sp;0;1;0,1;0;0
2813;1;Pimpinella saxifraga;ahopukinjuuri;0;1;0,5;0;0
2813;1;Aegopodium podagraria;vuohenputki;0;1;0,5;0;0
2813;1;Myosotis arvensis;peltolemmikki;0;1;1;0,1;0
2813;1;Pinus sylvestris;metsämänty;0;0;1;0;0
2813;1;Picea abies;metsäkuusi;0;0;1;0;0
2813;1;Stellaria longifolia;metsätähtimö;0;1;0,1;0;0
2813;1;Angelica sylvestris;karhunputki;0;1;1;0;0
2813;1;Polygala amarella;katkeralinnunruoho;0;1;1,5;0;0
2813;1;Pilosella floribunda;ruotsinkeltano;0;1;2;0;70
2813;1;Cirsium vulgare;piikkiohdake;0;1;1;0;0
2813;1;Cerastium semidecandrum;mäkihärkki;0;1;0,5;50;0
2813;1;Pilosella sp;harakankeltano sp;0;1;1;0;0
2813;1;Festuca ovina;lampaannata;1;0;4;0;0
2813;1;bryophytes;sammalet;0;0;16;0;0
2813;1;lichens;jäkälät;0;0;0;0;0
2813;2;Centaurea jacea;ahdekaunokki;0;1;1;100;0
2813;2;Plantago lanceolata;heinäratamo;0;1;2;100;30
2813;2;Polygala amarella;katkeralinnunruoho;0;1;2;30;0
2813;2;Trifolium medium;metsäapila;0;1;1;100;20
2813;2;Anemone nemorosa;valkovuokko;0;1;0,1;100;0
2813;2;Betula pubescens;hieskoivu;0;1;2;100;0
2813;2;Luzula pilosa;kevätpiippo;1;0;1;0;100
2813;2;Leontodon autumnalis;syysmaitiainen;0;1;1;0;0
2813;2;Lathyrus pratensis;niittynätkelmä;0;1;0,1;0;0
2813;2;Potentilla reptans;suikerohanhikki;0;1;0,5;0;0
2813;2;Listera ovata;soikkokaksikko;1;0;0,1;0;100
2813;2;Pilosella officinarum;huopakeltano;0;1;1;0;80
2813;2;Primula veris;kevätesikko;0;1;0,5;0;100
2813;2;Hieracium sp;ukonkeltano sp;0;1;1;100;0
2813;2;Helictotrichon pubescens;mäkikaura;1;0;0,5;0;0
2813;2;Taraxacum sp;voikukka sp;0;1;0,1;0;0
2813;2;Deschampsia flexuosa;metsälauha;1;0;1;0;0
2813;2;Festuca ovina;lampaannata;1;0;1;0;0
2813;2;bryophytes;sammalet;0;0;0;0;0
2813;2;lichens;jäkälät;0;0;0;0;0
2813;3;Plantago lanceolata;heinäratamo;0;1;1;100;50
2813;3;Potentilla reptans;suikerohanhikki;0;1;1;0;0
2813;3;Trifolium medium;metsäapila;0;1;0,5;100;0
2813;3;Pinus sylvestris;metsämänty;0;0;0,5;0;0
2813;3;Achillea millefolium;siankärsämö;0;1;2;0;0
2813;3;Centaurea jacea;ahdekaunokki;0;1;0,5;100;0
2813;3;Betula pubescens;hieskoivu;0;1;3;100;0
2813;3;Luzula pilosa;kevätpiippo;1;0;1;0;0
2813;3;Agrostis sp;rölli sp;1;0;3;0;0
2813;3;Helictotrichon pubescens;mäkikaura;1;0;1;0;0
2813;3;Anthoxanthum odoratum;eteläntuoksusimake;1;0;1;0;0
2813;3;Fragaria vesca;ahomansikka;0;1;0,5;0;0
2813;3;Pilosella officinarum;huopakeltano;0;1;1;0;50
2813;3;Pimpinella saxifraga;ahopukinjuuri;0;1;0,5;0;0
2813;3;Alchemilla sp;poimulehti sp;0;1;2;0;100
2813;3;Aegopodium podograria;vuohenputki;0;1;0,1;0;0
2813;3;Viola riviniana;metsäorvokki;0;1;0,1;0;0
2813;3;Hieracium sp;ukonkeltano sp;0;1;0,1;0;0
2813;3;Galium album;paimenmatara;0;1;0,5;0;0
2813;3;Geranium sylvaticum;metsäkurjenpolvi;0;1;0,1;0;0
2813;3;Pilosella sp;harakankeltano;0;1;1;0;100
2813;3;bryophytes;sammalet;0;0;6;0;0
2813;3;lichens;jäkälät;0;0;0;0;0
2813;4;Plantago lanceolata;heinäratamo;0;1;1;100;100
2813;4;Potentilla reptans;suikerohanhikki;0;1;15;100;0
2813;4;Betula pubescens;hieskoivu;0;1;1;0;0
2813;4;Pteridium aquilinium;sananjalka;0;0;7;0;0
2813;4;Vicia sepium;aitovirna;0;1;1;100;0
2813;4;Melica nutans;nuokkuhelmikkä;1;0;2;0;0
2813;4;Fragaria vesca;ahomansikka;0;1;5;0;0
2813;4;Achillea millefolium;siankärsämö;0;1;0,5;0;0
2813;4;Anemone nemorosa;valkovuokko;0;1;3;100;0
2813;4;Centaurea jaceae;ahdekaunokki;0;1;1;100;0
2813;4;Equisetum arvense;peltokorte;0;0;0,5;0;0
2813;4;Primula veris;kevätesikko;0;1;2;0;0
2813;4;Lathyrus pratensis;niittynätkelmä;0;1;0,5;100;0
2813;4;Stellaria longifolia;metsätähtimö;0;1;0,1;0;0
2813;4;Geranium sylvaticum;metsäkurjenpolvi;0;1;1;0;0
2813;4;Anthriscus sylvestris;koiranputki;0;1;0,5;0;0
2813;4;Polygala amarella;katkeralinnunruoho;0;1;0,1;0;0
2813;4;Hepatica nobilis;sinivuokko;0;1;0,1;100;0
2813;4;Hypericum maculatum;särmäkuisma;0;1;0,1;100;0
2813;4;Fraxinus excelsior;saarni;0;1;0,1;100;0
2813;4;Deschampsia cespitosa;nurmilauha;1;0;1;0;0
2813;4;Dactylis glomerata;koiranheinä;1;0;2;10;0
2813;4;Deschampsia flexuosa;metsälauha;1;0;1;0;0
2813;4;bryophytes;sammalet;0;0;4;0;0
2813;4;jäkälät;lichens;0;0;0;0;0
1206;1;Plantago lanceolata;heinäratamo;0;1;1;100;80
1206;1;Allium schoenoprasum;ruoholaukka;1;0;0,1;0;0
1206;1;Arenaria serpyllifolia;mäkiarho;0;1;0,2;0;0
1206;1;Taraxacum sp;voikukka sp;0;1;0,2;0;30
1206;1;Sedum album;valkomaksaruoho;0;1;2;0;0
1206;1;Festuca ovina;lampaannata;1;0;4;0;0
1206;1;Dactylis glomerata;koiranheinä;1;0;0,2;0;0
1206;1;Trifolium repens;valkoapila;0;1;0,1;0;0
1206;1;Potentilla argentea;hopeahanhikki;0;1;0,1;0;0
1206;1;bryophytes;sammalet;0;0;1;0;0
1206;1;lichens;jäkälät;0;0;0;0;0
1206;2;Veronica chamaedrys;nurmitädyke;0;1;1;0;0
1206;2;Plantago lanceolata;heinäratamo;0;1;4;90;40
1206;2;Galium verum;keltamatara;0;1;1,5;0;0
1206;2;Filipendula vulgaris;sikoangervo;0;1;3;0;0
1206;2;Pilosella floribunda;ruotsinkeltano;0;1;2;100;100
1206;2;Taraxacum sp;voikukka sp;0;1;0,1;100;0
1206;2;Viola riviniana;metsäorvokki;0;1;0,5;0;0
1206;2;Knautia arvensis;ruusuruoho;0;1;2;50;0
1206;2;Festuca ovina;lampaannata;1;0;2;0;0
1206;2;bryophytes;sammalet;0;0;40;0;0
1206;2;lichens;jäkälät;0;0;0;0;0
1206;3;Anthoxanthum odoratum;eteläntuoksusimake;1;0;3;0;0
1206;3;Veronica officinalis;rohtotädyke;0;1;1,5;0;0
1206;3;Hylotelephium telephium;isomaksaruoho;0;1;1;100;0
1206;3;Taraxacum sp;voikukka sp;0;1;0,1;0;100
1206;3;Allium schoenoprasum;ruoholaukka;1;0;0,5;0;0
1206;3;Plantago lanceolata;heinäratamo;0;1;2,5;100;0,1
1206;3;Potentilla argentea;hopeahanhikki;0;1;0,5;0;0
1206;3;Sedum album;valkomaksaruoho;0;1;0,1;0;0
1206;3;Festuca ovina;lampaannata;1;0;7;0;0
1206;3;Myosotis ramosissima;mäkilemmikki;0;1;0,1;0;0
1206;3;Arabidopsis thaliana;lituroho;0;1;0,1;0;0
1206;3;bryophytes;sammalet;0;0;5;0;0
1206;3;lichens;jäkälät;0;0;0;0;0
1206;4;Sinapis arvensis;rikkasinappi;0;1;1;0;0
1206;4;Pilosella officinarum;huopakeltano;0;1;1;0;100
1206;4;Trifolium medium ;metsäapila;0;1;80;50;40
1206;4;Ranunculus repens;rönsyleinikki;0;1;0,5;0;0
1206;4;Festuca ovina;lampaannata;1;0;2;0;0
1206;4;Taraxacum sp;voikukka sp;0;1;1,5;0;0
1206;4;Fragaria vesca;ahomansikka;0;1;1;100;0
1206;4;bryophytes;sammalet;0;0;6;0;0
1206;4;lichens;jäkälät;0;0;0;0;0
1032;1;Plantago lanceolata;heinäratamo;0;1;1;100;0
1032;1;Taraxacum sp;voikukka sp;0;1;2;50;0
1032;1;Tussilago farfara;leskenlehti;0;1;2;0;0
1032;1;Achillea millefolium ;siankärsämö;0;1;1;0;0
1032;1;Polygala vulgaris;isolinnunruoho;0;1;0,25;0;0
1032;1;Galium boreale;ahomatara;0;1;2;0;0
1032;1;Pteridium aquilinium;sananjalka;0;0;3;0;0
1032;1;Potentilla erecta;rätvänä;0;1;2;0;0
1032;1;Equisetum arvense;peltokorte;0;0;0,5;0;0
1032;1;Viola riviniana;metsäorvokki;0;1;0,5;0;0
1032;1;Ranunculus acris;niittyleinikki;0;1;1;0;0
1032;1;Filipendula vulgaris;sikoangervo;0;1;2;0;0
1032;1;Centaurea jacea;ahdekaunokki;0;1;5;100;0
1032;1;Crepis sp;keltto sp;0;1;0,5;0;0
1032;1;Pilosella officinarum;huopakeltano;0;1;1;0;0
1032;1;Deschampsia flexuosa;metsälauha;1;0;3;0;0
1032;1;Dactylis glomerata;koiranheinä;1;0;1;0;30
1032;1;Rhinanthus minor;pikkulaukku;0;1;1;0;0
1032;2;Plantago lanceolata;heinäratamo;0;1;1;100;0
1032;2;Alchemilla sp;poimulehti sp;0;1;10;80;20
1032;2;Ranunculus acris;niittyleinikki;0;1;1;0;0
1032;2;Pinus sylvestris;metsämänty;0;0;1;0;0
1032;2;Fragaria vesca;ahomansikka;0;1;1;100;0
1032;2;Hepatica nobilis;sinivuokko;0;1;0,5;100;0
1032;2;Veronica chamaedrys;nurmitädyke;0;1;0,5;0;0
1032;2;Achillea millefolium;siankärsämö;0;1;1;0;0
1032;2;Acer platanoides;metsävaahtera;0;1;0,5;0;0
1032;2;Anthiriscus sylvestris;koiranputki;0;1;0,5;0;0
1032;2;Galium boreale;ahomatara;0;1;2;0;0
1032;2;Viola riviniana;metsäorvokki;0;1;1;100;0
1032;2;Filipendula vulgaris;sikoangervo;0;1;0,5;0;0
1032;2;Anemone nemorosa;valkovuokko;0;1;2;100;0
1032;2;Hypericum maculatum;särmäkuisma;0;1;3;0;0
1032;2;Stellaria graminea;heinätähtimö;0;1;0,1;0;0
1032;2;Dactylis glomerata;koiranheinä;1;0;5;0;1
1032;2;Potentilla erecta;rätvänä;0;1;1;0;0
1032;2;Laucanthemum vulgare;päivänkakkara;0;1;0,5;100;0
1032;3;Plantago lanceolata;heinäratamo;0;1;1;100;0
1032;3;Galium boreale;ahomatara;0;1;2;10;0
1032;3;Equisetum arvense;peltokorte;0;0;3;0;0
1032;3;Achillea millefolium;siankärsämö;0;1;1;0;0
1032;3;Anemone nemorosa;valkovuokko;0;1;0,5;0;0
1032;3;Trifolium medium;metsäapila;0;1;18;10;10
1032;3;Alchemilla sp;poimulehti sp;0;1;10;0;0
1032;3;Veronica chamaedrys;nurmitädyke;0;1;1;0;0
1032;3;Ranunculus acris;niittyleinikki;0;1;0,5;100;0
1032;3;Geum rivale;ojakellukka;0;1;1;0;0
1032;3;Hypericum maculatum;särmäkuisma;0;1;0,5;0;0
1032;3;Filipendula vulgaris;sikoangervo;0;1;1;0;0
1032;3;Galium verum;keltamatara;0;1;2;0;0
1032;3;Anthiriscus sylvestris;koiranputki;0;1;1;0;0
1032;3;Trifolium repens;valkoapila;0;1;1;50;10
1032;3;Poa pratensis;niittynurmikka;1;0;1;0;0
1032;3;Pilosella sp;harakankeltano sp;0;1;0,5;0;0
1032;3;Festuca rubra;punanata;1;0;1;0;0
3379;1;Fragaria vesca;ahomansikka;0;1;5;3;23
3379;1;Plantago lanceolata;heinäratamo;0;1;2;100;10
3379;1;Melampyrum pratense;kangasmaitikka;0;1;0,5;100;0
3379;1;Melampyrum sylvaticum;metsämaitikka;0;1;2;100;0
3379;1;Trifolium pratense;puna-apila;0;1;4;100;0
3379;1;Betula pubescens;hieskoivu;0;1;4;0;0
3379;1;Fraxinus excelsior;saarni;0;1;3;0;0
3379;1;Hepatica nobilis;sinivuokko;0;1;2;0;0
3379;1;Polygala vulgaris;isolinnunruoho;0;1;1;0;0
3379;1;Achillea millefolium;siankärsämö;0;1;0,5;0;0
3379;1;Vicia sepium;aitovirna;0;1;1;100;0
3379;1;Galium verum;keltamatara;0;1;0,5;25;0
3379;1;Galium boreale;ahomatara;0;1;1;75;0
3379;1;Helianthemum nummularium;kultapäivännouto;0;1;4;20;0
3379;1;Luzula pilosa;kevätpiippo;1;0;0,5;37;12
3379;1;Geranium sylvaticum;metsäkurjenpolvi;0;1;0,5;100;0
3379;1;Ranunculus acris;niittyleinikki;0;1;0,25;100;0
3379;1;Galium album;paimenmatara;0;1;0,25;100;0
3379;1;Agrostis sp 1;rölli sp 1;1;0;2;0;0
3379;1;Deschampsia flexuosa;metsälauha;1;0;2;0;0
3379;1;Agrostis sp 2;rölli sp 2;1;0;0,1;0;0
3379;1;Carex digita;sormisara;1;0;0,1;0;0
3379;1;Poaceae sp;heinä sp;1;0;1;0;0
3379;1;bryophytes;sammalet;0;0;3;0;0
3379;1;lichens;jäkälät;0;0;0;0;0
3379;2;Plantago lanceolata;heinäratamo;0;1;3;80;0
3379;2;Primula veris;kevätesikko;0;1;5;50;0
3379;2;Equisetum arvense;peltokorte;0;0;3;0;0
3379;2;Fragaria vesca;ahomansikka;0;1;7;50;0
3379;2;Galium boreale;ahomatara;0;1;4;40;0
