V1;V2;V3
134;Bromoviridae;MEM1_Tombusviridae;0.19
135;Betaflexiviridae;MEM1_Potyviridae;0.28
136;Alphaflexiviridae;MEM1_Fimoviridae;0.65
137;Pospiviroidae;MEM1_Geminiviridae;0.13
138;Tombusviridae;MEM2_Alphaflexiviridae;1.09
139;Fimoviridae;MEM2_Alphaflexiviridae;0.14
140;Pospiviroidae;MEM2_Tymoviridae;0.75
141;Bromoviridae;MEM2_Tymoviridae;0.53
142;Partitiviridae;MEM2_Caulimoviridae;0.12
143;Tymoviridae;MEM2_Pospiviroidae;0.75
144;Tymoviridae;MEM2_Bromoviridae;0.53
145;Alphaflexiviridae;MEM2_Tombusviridae;1.09
146;Alphaflexiviridae;MEM2_Fimoviridae;0.14
147;Caulimoviridae;MEM2_Partitiviridae;0.12
148;Closteroviridae;MEM3_Caulimoviridae;-0.04
149;Partitiviridae;MEM3_Caulimoviridae;-0.35
150;Caulimoviridae;MEM3_Closteroviridae;-0.04
151;Geminiviridae;MEM3_Bromoviridae;-0.26
152;Caulimoviridae;MEM3_Partitiviridae;-0.35
153;Bromoviridae;MEM3_Geminiviridae;-0.26
154;Pospiviroidae;MEM9_Tymoviridae;-0.81
155;Partitiviridae;MEM9_Caulimoviridae;-0.05
156;Tymoviridae;MEM9_Pospiviroidae;-0.81
157;Caulimoviridae;MEM9_Partitiviridae;-0.05
